school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2018-2019,01,ADAMS,0010,MAPLETON 1,1938,8449,0.22937625754527163
2018-2019,01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9733,38095,0.25549284683029266
2018-2019,01,ADAMS,0030,ADAMS COUNTY 14,2971,6507,0.4565852159213155
2018-2019,01,ADAMS,0040,SCHOOL DISTRICT 27J,3442,18026,0.19094641074004215
2018-2019,01,ADAMS,0050,BENNETT 29J,161,1027,0.15676728334956183
2018-2019,01,ADAMS,0060,STRASBURG 31J,241,983,0.2451678535096643
2018-2019,01,ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,2701,8593,0.31432561387175606
2018-2019,02,ALAMOSA,0100,ALAMOSA RE-11J,509,2333,0.21817402486069437
2018-2019,02,ALAMOSA,0110,SANGRE DE CRISTO RE-22J,74,289,0.2560553633217993
2018-2019,03,ARAPAHOE,0120,ENGLEWOOD 1,635,2415,0.2629399585921325
2018-2019,03,ARAPAHOE,0123,SHERIDAN 2,397,1248,0.31810897435897434
2018-2019,03,ARAPAHOE,0130,CHERRY CREEK 5,13729,54227,0.25317646191011856
2018-2019,03,ARAPAHOE,0140,LITTLETON 6,1718,14728,0.11664856056491038
2018-2019,03,ARAPAHOE,0170,DEER TRAIL 26J,43,184,0.23369565217391305
2018-2019,03,ARAPAHOE,0180,ADAMS-ARAPAHOE 28J,9362,38010,0.24630360431465403
2018-2019,03,ARAPAHOE,0190,BYERS 32J,1000,2867,0.3487966515521451
2018-2019,04,ARCHULETA,0220,ARCHULETA COUNTY 50 JT,453,1706,0.26553341148886284
2018-2019,05,BACA,0230,WALSH RE-1,8,149,0.053691275167785234
2018-2019,05,BACA,0240,PRITCHETT RE-3,0,52,0
2018-2019,05,BACA,0250,SPRINGFIELD RE-4,80,271,0.2952029520295203
2018-2019,05,BACA,0260,VILAS RE-5,6,41,0.14634146341463414
2018-2019,05,BACA,0270,CAMPO RE-6,13,37,0.35135135135135137
2018-2019,06,BENT,0290,LAS ANIMAS RE-1,629,2280,0.27587719298245617
2018-2019,06,BENT,0310,MC CLAVE RE-2,0,244,0
2018-2019,07,BOULDER,0470,ST VRAIN VALLEY RE 1J,5690,31100,0.18295819935691318
2018-2019,07,BOULDER,0480,BOULDER VALLEY RE 2,3596,30313,0.11862897106851845
2018-2019,08,CHAFFEE,0490,BUENA VISTA R-31,156,964,0.16182572614107885
2018-2019,08,CHAFFEE,0500,SALIDA R-32,154,1204,0.12790697674418605
2018-2019,09,CHEYENNE,0510,KIT CARSON R-1,6,102,0.058823529411764705
2018-2019,09,CHEYENNE,0520,CHEYENNE COUNTY RE-5,5,165,0.030303030303030304
2018-2019,10,CLEAR CREEK,0540,CLEAR CREEK RE-1,130,687,0.18922852983988356
2018-2019,11,CONEJOS,0550,NORTH CONEJOS RE-1J,150,1025,0.14634146341463414
2018-2019,11,CONEJOS,0560,SANFORD 6J,31,330,0.09393939393939393
2018-2019,11,CONEJOS,0580,SOUTH CONEJOS RE-10,16,155,0.1032258064516129
2018-2019,12,COSTILLA,0640,CENTENNIAL R-1,58,202,0.2871287128712871
2018-2019,12,COSTILLA,0740,SIERRA GRANDE R-30,58,270,0.21481481481481482
2018-2019,13,CROWLEY,0770,CROWLEY COUNTY RE-1-J,66,437,0.15102974828375287
2018-2019,14,CUSTER,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,81,358,0.22625698324022347
2018-2019,15,DELTA,0870,DELTA COUNTY 50(J),1018,4672,0.21789383561643835
2018-2019,16,DENVER,0880,DENVER COUNTY 1,34596,86887,0.39817233878485847
2018-2019,17,DOLORES,0890,DOLORES COUNTY RE NO.2,48,219,0.2191780821917808
2018-2019,18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,8213,65671,0.12506281311385542
2018-2019,19,EAGLE,0910,EAGLE COUNTY RE 50,1533,6605,0.23209689629068886
2018-2019,20,ELBERT,0920,ELIZABETH SCHOOL DISTRICT,258,2257,0.11431103234381923
2018-2019,20,ELBERT,0930,KIOWA C-2,44,231,0.19047619047619047
2018-2019,20,ELBERT,0940,BIG SANDY 100J,29,292,0.09931506849315068
2018-2019,20,ELBERT,0950,ELBERT 200,52,225,0.2311111111111111
2018-2019,20,ELBERT,0960,AGATE 300,0,47,0
2018-2019,21,EL PASO,0970,CALHAN RJ-1,68,440,0.15454545454545454
2018-2019,21,EL PASO,0980,HARRISON 2,4061,11708,0.34685685001708233
2018-2019,21,EL PASO,0990,WIDEFIELD 3,1641,9150,0.17934426229508196
2018-2019,21,EL PASO,1000,FOUNTAIN 8,1402,7861,0.17834881058389518
2018-2019,21,EL PASO,1010,COLORADO SPRINGS 11,3102,25624,0.12105838276615673
2018-2019,21,EL PASO,1020,CHEYENNE MOUNTAIN 12,297,5130,0.05789473684210526
2018-2019,21,EL PASO,1030,MANITOU SPRINGS 14,301,1451,0.2074431426602343
2018-2019,21,EL PASO,1040,ACADEMY 20,3240,25807,0.12554733211919247
2018-2019,21,EL PASO,1050,ELLICOTT 22,198,1012,0.1956521739130435
2018-2019,21,EL PASO,1060,PEYTON 23 JT,66,570,0.11578947368421053
2018-2019,21,EL PASO,1070,HANOVER 28,86,226,0.3805309734513274
2018-2019,21,EL PASO,1080,LEWIS-PALMER 38,612,6653,0.09198857658199308
2018-2019,21,EL PASO,1110,DISTRICT 49,3586,22079,0.16241677612210698
2018-2019,21,EL PASO,1120,EDISON 54 JT,11,223,0.04932735426008968
2018-2019,21,EL PASO,1130,MIAMI/YODER 60 JT,0,283,0
2018-2019,22,FREMONT,1140,CANON CITY RE-1,341,3503,0.09734513274336283
2018-2019,22,FREMONT,1150,FREMONT RE-2,298,1339,0.22255414488424197
2018-2019,22,FREMONT,1160,COTOPAXI RE-3,56,203,0.27586206896551724
2018-2019,23,GARFIELD,1180,ROARING FORK RE-1,919,5455,0.1684692942254812
2018-2019,23,GARFIELD,1195,GARFIELD RE-2,1215,4619,0.26304394890668975
2018-2019,23,GARFIELD,1220,GARFIELD 16,331,1148,0.2883275261324042
2018-2019,24,GILPIN,1330,GILPIN COUNTY RE-1,95,452,0.21017699115044247
2018-2019,25,GRAND,1340,WEST GRAND 1-JT,70,408,0.1715686274509804
2018-2019,25,GRAND,1350,EAST GRAND 2,270,1302,0.2073732718894009
2018-2019,26,GUNNISON,1360,GUNNISON WATERSHED RE1J,372,2006,0.18544366899302095
2018-2019,27,HINSDALE,1380,HINSDALE COUNTY RE 1,16,71,0.22535211267605634
2018-2019,28,HUERFANO,1390,HUERFANO RE-1,238,489,0.4867075664621677
2018-2019,28,HUERFANO,1400,LA VETA RE-2,66,206,0.32038834951456313
2018-2019,29,JACKSON,1410,NORTH PARK R-1,39,166,0.23493975903614459
