county_name,year,median_household_income,yoy_change,yoy_change_percent
Adams,2016,"81,075","2,698",3.44%
Adams,2017,"83,298","2,223",2.74%
Adams,2018,"86,423","3,125",3.75%
Adams,2019,"88,951","2,528",2.93%
Adams,2020,"90,981","2,030",2.28%
Adams,2021,"91,820",839,0.92%
Alamosa,2016,"39,609",-524,-1.31%
Alamosa,2017,"43,491","3,882",9.80%
Alamosa,2018,"45,817","2,326",5.35%
Alamosa,2019,"43,075","-2,742",-5.98%
Alamosa,2020,"46,596","3,521",8.17%
Alamosa,2021,"49,957","3,361",7.21%
Arapahoe,2016,"81,075","2,698",3.44%
Arapahoe,2017,"83,298","2,223",2.74%
Arapahoe,2018,"86,423","3,125",3.75%
Arapahoe,2019,"88,951","2,528",2.93%
Arapahoe,2020,"90,981","2,030",2.28%
Arapahoe,2021,"91,820",839,0.92%
Archuleta,2016,"55,781","-2,008",-3.47%
Archuleta,2017,"57,505","1,724",3.09%
Archuleta,2018,"59,333","1,828",3.18%
Archuleta,2019,"59,961",628,1.06%
Archuleta,2020,"63,068","3,107",5.18%
Archuleta,2021,"67,997","4,929",7.82%
Baca,2016,"45,837","-1,240",-2.63%
Baca,2017,"42,992","-2,845",-6.21%
Baca,2018,"43,840",848,1.97%
Baca,2019,"41,196","-2,644",-6.03%
Baca,2020,"39,269","-1,927",-4.68%
Baca,2021,"43,119","3,850",9.80%
Bent,2016,"42,530","-3,049",-6.69%
Bent,2017,"38,922","-3,608",-8.48%
Bent,2018,"40,206","1,284",3.30%
Bent,2019,"35,480","-4,726",-11.75%
Bent,2020,"43,153","7,673",21.63%
Bent,2021,"44,287","1,134",2.63%
Boulder,2016,"88,406",494,0.56%
Boulder,2017,"90,622","2,216",2.51%
Boulder,2018,"91,937","1,315",1.45%
Boulder,2019,"95,324","3,387",3.68%
Boulder,2020,"99,123","3,799",3.99%
Boulder,2021,"99,948",825,0.83%
Chaffee,2016,"62,368",-929,-1.47%
Chaffee,2017,"64,386","2,018",3.24%
Chaffee,2018,"63,807",-579,-0.90%
Chaffee,2019,"64,037",230,0.36%
Chaffee,2020,"62,522","-1,515",-2.37%
Chaffee,2021,"66,169","3,647",5.83%
Cheyenne,2016,"66,505","1,397",2.15%
Cheyenne,2017,"65,757",-748,-1.12%
Cheyenne,2018,"64,564","-1,193",-1.81%
Cheyenne,2019,"61,977","-2,587",-4.01%
Cheyenne,2020,"76,785","14,808",23.89%
Cheyenne,2021,"74,651","-2,134",-2.78%
Clear Creek,2016,"83,475",-409,-0.49%
Clear Creek,2017,"82,077","-1,398",-1.67%
Clear Creek,2018,"81,759",-318,-0.39%
Clear Creek,2019,"76,999","-4,760",-5.82%
Clear Creek,2020,"81,494","4,495",5.84%
Clear Creek,2021,"82,488",994,1.22%
Conejos,2016,"42,355","-3,052",-6.72%
Conejos,2017,"42,703",348,0.82%
Conejos,2018,"40,620","-2,083",-4.88%
Conejos,2019,"41,432",812,2.00%
Conejos,2020,"38,086","-3,346",-8.08%
Conejos,2021,"41,654","3,568",9.37%
Costilla,2016,"32,546","-6,257",-16.13%
Costilla,2017,"34,731","2,185",6.71%
Costilla,2018,"35,765","1,034",2.98%
Costilla,2019,"35,555",-210,-0.59%
Costilla,2020,"39,356","3,801",10.69%
Costilla,2021,"37,832","-1,524",-3.87%
Crowley,2016,"38,795",203,0.53%
Crowley,2017,"42,266","3,471",8.95%
Crowley,2018,"43,940","1,674",3.96%
Crowley,2019,"48,380","4,440",10.10%
Crowley,2020,"46,215","-2,165",-4.47%
Crowley,2021,"40,934","-5,281",-11.43%
Custer,2016,"47,217","3,856",8.89%
Custer,2017,"49,497","2,280",4.83%
Custer,2018,"52,192","2,695",5.44%
Custer,2019,"60,992","8,800",16.86%
Custer,2020,"68,398","7,406",12.14%
Custer,2021,"64,722","-3,676",-5.37%
Delta,2016,"51,383","-1,210",-2.30%
Delta,2017,"50,883",-500,-0.97%
