district_size,school_year,avg_rate
Micro,2016-2017,0.14527027027027026
Micro,2017-2018,0.15672396359959556
Micro,2018-2019,0.16568742655699178
Micro,2019-2020,0.23547094188376755
Micro,2020-2021,0.15148413510747186
Micro,2021-2022,0.2289988492520138
Micro,2022-2023,0.19766206163655686
Small,2016-2017,0.13091710052062475
Small,2017-2018,0.23552894211576847
Small,2018-2019,0.18015635778339847
Small,2019-2020,0.14820894894136466
Small,2020-2021,0.20867738130345032
Small,2021-2022,0.3007270083605961
Small,2022-2023,0.2881992560717672
Intermediate,2016-2017,0.15218812227339748
Intermediate,2017-2018,0.2588943372592151
Intermediate,2018-2019,0.21071265069433848
Intermediate,2019-2020,0.2273844369580825
Intermediate,2020-2021,0.2597404606128099
Intermediate,2021-2022,0.3385498657283082
Intermediate,2022-2023,0.30376717865804365
Medium,2016-2017,0.19936717861205916
Medium,2017-2018,0.22080021459530433
Medium,2018-2019,0.2073201764306718
Medium,2019-2020,0.2193636078486042
Medium,2020-2021,0.28288351077891805
Medium,2021-2022,0.33984345410932965
Medium,2022-2023,0.2929783693843594
Large,2016-2017,0.18946735915561025
Large,2017-2018,0.24736456784692498
Large,2018-2019,0.23143890675241158
Large,2019-2020,0.23103103309578077
Large,2020-2021,0.2506463217238706
Large,2021-2022,0.35303221117397543
Large,2022-2023,0.3213739275269692
